BS,Basic Sciences
HS,Humanities and Social Sciences
ED,Basic Engineering and Design
PJ,Professional Major
PN,Professional Minor
BSC,Basic Sciences
HSMC,Humanities and Social Sciences including Management Courses
ESC,Engineering Science Courses
PCC,Professional Core Course
PEC,Professional Elective Course 
OEC,Open Elective Course
PEC1,Professional Elective Course-1
PC,Professional Core
PE,Professional Elective
LC,Laboratory
MC,Mandatory 
PROJ,Project
HSS,Humanities and Social Sciences
ES,Engineering Science